Question_Number,Example_Prompt_Full,Example_Prompt_Question,Example_Prompt_Constraints,Example_Prompt_Header,Algorithm_IO_Examples,Inputs_1,Output_1,Inputs_2,Output_2,Inputs_3,Output_3,Map
23,"Can you write python code to solve “Merge k Sorted Lists”?

You are given an array of k linked-lists lists, each linked-list is sorted in ascending order. Merge all the linked-lists into one sorted linked-list and return it.

Constraints:
k == lists.length 0 <= k <= 10 4 0 <= lists[i].length <= 500 -10 4 <= lists[i][j] <= 10 4 lists[i] is sorted in ascending order. The sum of lists[i].length will not exceed 10 4.

def merge k sorted lists(…):","You are given an array of k linked-lists lists, each linked-list is sorted in ascending order. Merge all the linked-lists into one sorted linked-list and return it.",k == lists.length 0 <= k <= 10 4 0 <= lists[i].length <= 500 -10 4 <= lists[i][j] <= 10 4 lists[i] is sorted in ascending order. The sum of lists[i].length will not exceed 10 4.,def merge k sorted lists(…):,"Example 1:Input: lists = [[1,4,5],[1,3,4],[2,6]] Output: [1,1,2,3,4,4,5,6] Explanation: The linked-lists are: [ 1->4->5, 1->3->4, 2->6 ] merging them into one sorted list: 1->1->2->3->4->4->5->6 



Example 2: Input: lists = [] Output: [] 



Example 3: Input: lists = [[]] Output: []","[[[1, 4, 5], [1, 3, 4], [2, 6]]]","[1, 1, 2, 3, 4, 4, 5, 6]",[[]],[],[[[]]],[],"[[[[1, 4, 5], [1, 3, 4], [2, 6]]], [[]], [[[]]]]: [[1, 1, 2, 3, 4, 4, 5, 6], [], []]"
24,"Can you write python code to solve “Swap Nodes in Pairs”?

Given a linked list, swap every two adjacent nodes and return its head. You must solve the problem without modifying the values in the list's nodes (i.e., only nodes themselves may be changed.)

Constraints:
The number of nodes in the list is in the range [0, 100]. 0 <= Node.val <= 100

def swap nodes in pairs(…):","Given a linked list, swap every two adjacent nodes and return its head. You must solve the problem without modifying the values in the list's nodes (i.e., only nodes themselves may be changed.)","The number of nodes in the list is in the range [0, 100]. 0 <= Node.val <= 100",def swap nodes in pairs(…):,"Example 1:Input: head = [1,2,3,4] Output: [2,1,4,3] Explanation: 



Example 2: Input: head = [] Output: [] 



Example 3: Input: head = [1] Output: [1] 



Example 4: Input: head = [1,2,3] Output: [2,1,3]","[[1, 2, 3, 4]]","[2, 1, 4, 3]",[[]],[],[[1]],[1],"[[[1, 2, 3, 4]], [[]], [[1]]]: [[2, 1, 4, 3], [], [1]]"
30,"Can you write python code to solve “Substring with Concatenation of All Words”?

You are given a string s and an array of strings words. All the strings of words are of the same length. A concatenated string is a string that exactly contains all the strings of any permutation of words concatenated. For example, if words = [""ab"",""cd"",""ef""], then ""abcdef"", ""abefcd"", ""cdabef"", ""cdefab"", ""efabcd"", and ""efcdab"" are all concatenated strings. ""acdbef"" is not a concatenated string because it is not the concatenation of any permutation of words. Return an array of the starting indices of all the concatenated substrings in s. You can return the answer in any order.

Constraints:
1 <= s.length <= 10 4 1 <= words.length <= 5000 1 <= words[i].length <= 30 s and words[i] consist of lowercase English letters.

def substring with concatenation of all words(…):","You are given a string s and an array of strings words. All the strings of words are of the same length. A concatenated string is a string that exactly contains all the strings of any permutation of words concatenated. For example, if words = [""ab"",""cd"",""ef""], then ""abcdef"", ""abefcd"", ""cdabef"", ""cdefab"", ""efabcd"", and ""efcdab"" are all concatenated strings. ""acdbef"" is not a concatenated string because it is not the concatenation of any permutation of words. Return an array of the starting indices of all the concatenated substrings in s. You can return the answer in any order.",1 <= s.length <= 10 4 1 <= words.length <= 5000 1 <= words[i].length <= 30 s and words[i] consist of lowercase English letters.,def substring with concatenation of all words(…):,"Example 1:Input: s = ""barfoothefoobarman"", words = [""foo"",""bar""] Output: [0,9] Explanation: The substring starting at 0 is ""barfoo"". It is the concatenation of [""bar"",""foo""] which is a permutation of words. The substring starting at 9 is ""foobar"". It is the concatenation of [""foo"",""bar""] which is a permutation of words. 



Example 2: Input: s = ""wordgoodgoodgoodbestword"", words = [""word"",""good"",""best"",""word""] Output: [] Explanation: There is no concatenated substring. 



Example 3: Input: s = ""barfoofoobarthefoobarman"", words = [""bar"",""foo"",""the""] Output: [6,9,12] Explanation: The substring starting at 6 is ""foobarthe"". It is the concatenation of [""foo"",""bar"",""the""]. The substring starting at 9 is ""barthefoo"". It is the concatenation of [""bar"",""the"",""foo""]. The substring starting at 12 is ""thefoobar"". It is the concatenation of [""the"",""foo"",""bar""].","[""barfoothefoobarman"", [""foo"", ""bar""]]","[0, 9]","[""wordgoodgoodgoodbestword"", [""word"", ""good"", ""best"", ""word""]]",[],"[""barfoofoobarthefoobarman"", [""bar"", ""foo"", ""the""]]","[6, 9, 12]","[['barfoothefoobarman', ['foo', 'bar']], ['wordgoodgoodgoodbestword', ['word', 'good', 'best', 'word']], ['barfoofoobarthefoobarman', ['bar', 'foo', 'the']]]: [[0, 9], [], [6, 9, 12]]"
31,"Can you write python code to solve “Next Permutation”?

A permutation of an array of integers is an arrangement of its members into a sequence or linear order. For example, for arr = [1,2,3], the following are all the permutations of arr : [1,2,3], [1,3,2], [2, 1, 3], [2, 3, 1], [3,1,2], [3,2,1]. The next permutation of an array of integers is the next lexicographically greater permutation of its integer. More formally, if all the permutations of the array are sorted in one container according to their lexicographical order, then the next permutation of that array is the permutation that follows it in the sorted container. If such arrangement is not possible, the array must be rearranged as the lowest possible order (i.e., sorted in ascending order). For example, the next permutation of arr = [1,2,3] is [1,3,2]. Similarly, the next permutation of arr = [2,3,1] is [3,1,2]. While the next permutation of arr = [3,2,1] is [1,2,3] because [3,2,1] does not have a lexicographical larger rearrangement. Given an array of integers nums, find the next permutation of nums. The replacement must be in place and use only constant extra memory.

Constraints:
1 <= nums.length <= 100 0 <= nums[i] <= 100

def next permutation(…):","A permutation of an array of integers is an arrangement of its members into a sequence or linear order. For example, for arr = [1,2,3], the following are all the permutations of arr : [1,2,3], [1,3,2], [2, 1, 3], [2, 3, 1], [3,1,2], [3,2,1]. The next permutation of an array of integers is the next lexicographically greater permutation of its integer. More formally, if all the permutations of the array are sorted in one container according to their lexicographical order, then the next permutation of that array is the permutation that follows it in the sorted container. If such arrangement is not possible, the array must be rearranged as the lowest possible order (i.e., sorted in ascending order). For example, the next permutation of arr = [1,2,3] is [1,3,2]. Similarly, the next permutation of arr = [2,3,1] is [3,1,2]. While the next permutation of arr = [3,2,1] is [1,2,3] because [3,2,1] does not have a lexicographical larger rearrangement. Given an array of integers nums, find the next permutation of nums. The replacement must be in place and use only constant extra memory.",1 <= nums.length <= 100 0 <= nums[i] <= 100,def next permutation(…):,"Example 1:Input: nums = [1,2,3] Output: [1,3,2] 



Example 2: Input: nums = [3,2,1] Output: [1,2,3] 



Example 3: Input: nums = [1,1,5] Output: [1,5,1]","[[1, 2, 3]]","[1, 3, 2]","[[3, 2, 1]]","[1, 2, 3]","[[1, 1, 5]]","[1, 5, 1]","[[[1, 2, 3]], [[3, 2, 1]], [[1, 1, 5]]]: [[1, 3, 2], [1, 2, 3], [1, 5, 1]]"
32,"Can you write python code to solve “Longest Valid Parentheses”?

Given a string containing just the characters '(' and ')', return the length of the longest valid (well-formed) parentheses substring.

Constraints:
0 <= s.length <= 3 * 10 4 s[i] is '(', or ')'.

def longest valid parentheses(…):","Given a string containing just the characters '(' and ')', return the length of the longest valid (well-formed) parentheses substring.","0 <= s.length <= 3 * 10 4 s[i] is '(', or ')'.",def longest valid parentheses(…):,"Example 1:Input: s = ""(()"" Output: 2 Explanation: The longest valid parentheses substring is ""()"". 



Example 2: Input: s = "")()())"" Output: 4 Explanation: The longest valid parentheses substring is ""()()"". 



Example 3: Input: s = """" Output: 0","[""(()""]",2,"["")()())""]",4,"[""""]",0,"[['(()'], [')()())'], ['']]: [2, 4, 0]"
33,"Can you write python code to solve “Search in Rotated Sorted Array”?

There is an integer array nums sorted in ascending order (with distinct values). Prior to being passed to your function, nums is possibly rotated at an unknown pivot index k ( 1 <= k < nums.length ) such that the resulting array is [nums[k], nums[k+1],..., nums[n-1], nums[0], nums[1],..., nums[k-1]] ( 0-indexed ). For example, [0,1,2,4,5,6,7] might be rotated at pivot index 3 and become [4,5,6,7,0,1,2]. Given the array nums after the possible rotation and an integer target, return the index of target if it is in nums, or -1 if it is not in nums. You must write an algorithm with O(log n) runtime complexity.

Constraints:
1 <= nums.length <= 5000 -10 4 <= nums[i] <= 10 4 All values of nums are unique. nums is an ascending array that is possibly rotated. -10 4 <= target <= 10 4

def search in rotated sorted array(…):","There is an integer array nums sorted in ascending order (with distinct values). Prior to being passed to your function, nums is possibly rotated at an unknown pivot index k ( 1 <= k < nums.length ) such that the resulting array is [nums[k], nums[k+1],..., nums[n-1], nums[0], nums[1],..., nums[k-1]] ( 0-indexed ). For example, [0,1,2,4,5,6,7] might be rotated at pivot index 3 and become [4,5,6,7,0,1,2]. Given the array nums after the possible rotation and an integer target, return the index of target if it is in nums, or -1 if it is not in nums. You must write an algorithm with O(log n) runtime complexity.",1 <= nums.length <= 5000 -10 4 <= nums[i] <= 10 4 All values of nums are unique. nums is an ascending array that is possibly rotated. -10 4 <= target <= 10 4,def search in rotated sorted array(…):,"Example 1:Input: nums = [4,5,6,7,0,1,2], target = 0 Output: 4 



Example 2: Input: nums = [4,5,6,7,0,1,2], target = 3 Output: -1 



Example 3: Input: nums = [1], target = 0 Output: -1","[[4, 5, 6, 7, 0, 1, 2], 0]",4,"[[4, 5, 6, 7, 0, 1, 2], 3]",-1,"[[1], 0]",-1,"[[[4, 5, 6, 7, 0, 1, 2], 0], [[4, 5, 6, 7, 0, 1, 2], 3], [[1], 0]]: [4, -1, -1]"
34,"Can you write python code to solve “Find First and Last Position of Element in Sorted Array”?

Given an array of integers nums sorted in non-decreasing order, find the starting and ending position of a given target value. If target is not found in the array, return [-1, -1]. You must write an algorithm with O(log n) runtime complexity.

Constraints:
0 <= nums.length <= 10 5 -10 9 <= nums[i] <= 10 9 nums is a non-decreasing array. -10 9 <= target <= 10 9

def find first and last position of element in sorted array(…):","Given an array of integers nums sorted in non-decreasing order, find the starting and ending position of a given target value. If target is not found in the array, return [-1, -1]. You must write an algorithm with O(log n) runtime complexity.",0 <= nums.length <= 10 5 -10 9 <= nums[i] <= 10 9 nums is a non-decreasing array. -10 9 <= target <= 10 9,def find first and last position of element in sorted array(…):,"Example 1:Input: nums = [5,7,7,8,8,10], target = 8 Output: [3,4] 



Example 2: Input: nums = [5,7,7,8,8,10], target = 6 Output: [-1,-1] 



Example 3: Input: nums = [], target = 0 Output: [-1,-1]","[[5, 7, 7, 8, 8, 10], 8]","[3, 4]","[[5, 7, 7, 8, 8, 10], 6]","[-1, -1]","[[], 0]","[-1, -1]","[[[5, 7, 7, 8, 8, 10], 8], [[5, 7, 7, 8, 8, 10], 6], [[], 0]]: [[3, 4], [-1, -1], [-1, -1]]"
35,"Can you write python code to solve “Search Insert Position”?

Given a sorted array of distinct integers and a target value, return the index if the target is found. If not, return the index where it would be if it were inserted in order. You must write an algorithm with O(log n) runtime complexity.

Constraints:
1 <= nums.length <= 10 4 -10 4 <= nums[i] <= 10 4 nums contains distinct values sorted in ascending order. -10 4 <= target <= 10 4

def search insert position(…):","Given a sorted array of distinct integers and a target value, return the index if the target is found. If not, return the index where it would be if it were inserted in order. You must write an algorithm with O(log n) runtime complexity.",1 <= nums.length <= 10 4 -10 4 <= nums[i] <= 10 4 nums contains distinct values sorted in ascending order. -10 4 <= target <= 10 4,def search insert position(…):,"Example 1:Input: nums = [1,3,5,6], target = 5 Output: 2 



Example 2: Input: nums = [1,3,5,6], target = 2 Output: 1 



Example 3: Input: nums = [1,3,5,6], target = 7 Output: 4","[[1, 3, 5, 6], 5]",2,"[[1, 3, 5, 6], 2]",1,"[[1, 3, 5, 6], 7]",4,"[[[1, 3, 5, 6], 5], [[1, 3, 5, 6], 2], [[1, 3, 5, 6], 7]]: [2, 1, 4]"
39,"Can you write python code to solve “Combination Sum”?

Given an array of distinct integers candidates and a target integer target, return a list of all unique combinations of candidates where the chosen numbers sum to target. You may return the combinations in any order. The same number may be chosen from candidates an unlimited number of times. Two combinations are unique if the frequency of at least one of the chosen numbers is different. The test cases are generated such that the number of unique combinations that sum up to target is less than 150 combinations for the given input.

Constraints:
1 <= candidates.length <= 30 2 <= candidates[i] <= 40 All elements of candidates are distinct. 1 <= target <= 40

def combination sum(…):","Given an array of distinct integers candidates and a target integer target, return a list of all unique combinations of candidates where the chosen numbers sum to target. You may return the combinations in any order. The same number may be chosen from candidates an unlimited number of times. Two combinations are unique if the frequency of at least one of the chosen numbers is different. The test cases are generated such that the number of unique combinations that sum up to target is less than 150 combinations for the given input.",1 <= candidates.length <= 30 2 <= candidates[i] <= 40 All elements of candidates are distinct. 1 <= target <= 40,def combination sum(…):,"Example 1:Input: candidates = [2,3,6,7], target = 7 Output: [[2,2,3],[7]] Explanation: 2 and 3 are candidates, and 2 + 2 + 3 = 7. Note that 2 can be used multiple times. 7 is a candidate, and 7 = 7. These are the only two combinations. 



Example 2: Input: candidates = [2,3,5], target = 8 Output: [[2,2,2,2],[2,3,3],[3,5]] 



Example 3: Input: candidates = [2], target = 1 Output: []","[[2, 3, 6, 7], 7]","[[2, 2, 3], [7]]","[[2, 3, 5], 8]","[[2, 2, 2, 2], [2, 3, 3], [3, 5]]","[[2], 1]",[],"[[[2, 3, 6, 7], 7], [[2, 3, 5], 8], [[2], 1]]: [[[2, 2, 3], [7]], [[2, 2, 2, 2], [2, 3, 3], [3, 5]], []]"
41,"Can you write python code to solve “First Missing Positive”?

Given an unsorted integer array nums. Return the smallest positive integer that is not present in nums. You must implement an algorithm that runs in O(n) time and uses O(1) auxiliary space.

Constraints:
1 <= nums.length <= 10 5 -2 31 <= nums[i] <= 2 31 - 1

def first missing positive(…):",Given an unsorted integer array nums. Return the smallest positive integer that is not present in nums. You must implement an algorithm that runs in O(n) time and uses O(1) auxiliary space.,1 <= nums.length <= 10 5 -2 31 <= nums[i] <= 2 31 - 1,def first missing positive(…):,"Example 1:Input: nums = [1,2,0] Output: 3 Explanation: The numbers in the range [1,2] are all in the array. 



Example 2: Input: nums = [3,4,-1,1] Output: 2 Explanation: 1 is in the array but 2 is missing. 



Example 3: Input: nums = [7,8,9,11,12] Output: 1 Explanation: The smallest positive integer 1 is missing.","[[1, 2, 0]]",3,"[[3, 4, -1, 1]]",2,"[[7, 8, 9, 11, 12]]",1,"[[[1, 2, 0]], [[3, 4, -1, 1]], [[7, 8, 9, 11, 12]]]: [3, 2, 1]"
44,"Can you write python code to solve “Wildcard Matching”?

Given an input string ( s ) and a pattern ( p ), implement wildcard pattern matching with support for '?' and '*' where: '?' Matches any single character. '*' Matches any sequence of characters (including the empty sequence). The matching should cover the entire input string (not partial).

Constraints:
0 <= s.length, p.length <= 2000 s contains only lowercase English letters. p contains only lowercase English letters, '?' or '*'.

def wildcard matching(…):","Given an input string ( s ) and a pattern ( p ), implement wildcard pattern matching with support for '?' and '*' where: '?' Matches any single character. '*' Matches any sequence of characters (including the empty sequence). The matching should cover the entire input string (not partial).","0 <= s.length, p.length <= 2000 s contains only lowercase English letters. p contains only lowercase English letters, '?' or '*'.",def wildcard matching(…):,"Example 1:Input: s = ""aa"", p = ""a"" Output: false Explanation: ""a"" does not match the entire string ""aa"". 



Example 2: Input: s = ""aa"", p = ""*"" Output: true Explanation: '*' matches any sequence. 



Example 3: Input: s = ""cb"", p = ""?a"" Output: false Explanation: '?' matches 'c', but the second letter is 'a', which does not match 'b'.","[""aa"", ""a""]",false,"[""aa"", ""*""]",true,"[""cb"", ""?a""]",false,"[['aa', 'a'], ['aa', '*'], ['cb', '?a']]: [False, True, False]"
46,"Can you write python code to solve “Permutations”?

Given an array nums of distinct integers, return all the possible permutations. You can return the answer in any order.

Constraints:
1 <= nums.length <= 6 -10 <= nums[i] <= 10 All the integers of nums are unique.

def permutations(…):","Given an array nums of distinct integers, return all the possible permutations. You can return the answer in any order.",1 <= nums.length <= 6 -10 <= nums[i] <= 10 All the integers of nums are unique.,def permutations(…):,"Example 1:Input: nums = [1,2,3] Output: [[1,2,3],[1,3,2],[2,1,3],[2,3,1],[3,1,2],[3,2,1]] 



Example 2: Input: nums = [0,1] Output: [[0,1],[1,0]] 



Example 3: Input: nums = [1] Output: [[1]]","[[1, 2, 3]]","[[1, 2, 3], [1, 3, 2], [2, 1, 3], [2, 3, 1], [3, 1, 2], [3, 2, 1]]","[[0, 1]]","[[0, 1], [1, 0]]",[[1]],[[1]],"[[[1, 2, 3]], [[0, 1]], [[1]]]: [[[1, 2, 3], [1, 3, 2], [2, 1, 3], [2, 3, 1], [3, 1, 2], [3, 2, 1]], [[0, 1], [1, 0]], [[1]]]"
49,"Can you write python code to solve “Group Anagrams”?

Given an array of strings strs, group the anagrams together. You can return the answer in any order.

Constraints:
1 <= strs.length <= 10 4 0 <= strs[i].length <= 100 strs[i] consists of lowercase English letters.

def group anagrams(…):","Given an array of strings strs, group the anagrams together. You can return the answer in any order.",1 <= strs.length <= 10 4 0 <= strs[i].length <= 100 strs[i] consists of lowercase English letters.,def group anagrams(…):,"Example 1:Input: strs = [""eat"",""tea"",""tan"",""ate"",""nat"",""bat""] Output: [[""bat""],[""nat"",""tan""],[""ate"",""eat"",""tea""]] Explanation: There is no string in strs that can be rearranged to form ""bat"". The strings ""nat"" and ""tan"" are anagrams as they can be rearranged to form each other. The strings ""ate"", ""eat"", and ""tea"" are anagrams as they can be rearranged to form each other. 



Example 2: Input: strs = [""""] Output: [[""""]] 



Example 3: Input: strs = [""a""] Output: [[""a""]]","[[""eat"", ""tea"", ""tan"", ""ate"", ""nat"", ""bat""]]","[[""bat""], [""nat"", ""tan""], [""ate"", ""eat"", ""tea""]]","[[""""]]","[[""""]]","[[""a""]]","[[""a""]]","[[['eat', 'tea', 'tan', 'ate', 'nat', 'bat']], [['']], [['a']]]: [[['bat'], ['nat', 'tan'], ['ate', 'eat', 'tea']], [['']], [['a']]]"
